Month,Total,Russian Federation,South Africa,United States,Canada,Colombia,Australia,Other
2013-03-01,4.139623,1.380477,0.375788,0.92857,0.178294,0.465343,0.358907,0.452244
2013-04-01,4.104482,1.161095,0.488067,1.093277,0.112523,0.325429,0.412375,0.511716
2013-05-01,3.794764,0.99129,0.300675,0.881102,0,0.598591,0,1.023106
2013-06-01,3.189701,0.807719,0.121903,0.844959,0,0.685595,0,0.729525
2013-07-01,3.047788,0.900703,0.164614,0.41898,0.127457,0.675025,0.322586,0.438423
2013-08-01,3.586681,0.791157,0.113907,0.960676,0.114623,0.663945,0.410543,0.53183
2013-09-01,3.653633,0.936414,0.185456,0.748025,0,0.826149,0,0.957589
2013-10-01,4.365988,1.140658,0.307836,0.873201,0,0.910909,0,1.133384
2013-11-01,4.166181,1.004848,0.349898,0.930317,0,0.689932,0,1.191186
2013-12-01,3.286217,0.728505,0.262291,0.80048,0.093571,0.807374,0.213946,0.38005
2014-01-01,3.828084,1.000347,0.394843,0.575037,0.125693,0.796818,0.515617,0.419729
2014-02-01,4.21989,1.065171,0.760071,0.957011,0.110368,0.657916,0.330045,0.339308
2014-03-01,3.791045,0.83209,0.72184,0.912849,0,0.25636,0,1.067906
2014-04-01,3.749316,1.263296,0.564169,0.627318,0,0.342451,0,0.952082
2014-05-01,3.536339,0.784336,0.357699,0.662757,0,0.513175,0,1.218372
2014-06-01,3.106817,0.832547,0.373752,0.505321,0,0.339565,0,1.055632
2014-07-01,3.797695,0.907165,0.333868,0.710591,0,0.566515,0,1.279556
2014-08-01,3.811424,1.394674,0.328761,0.631334,0,0.296506,0,1.160149
2014-09-01,3.582266,1.237351,0.430047,0.524292,0.094134,0.472103,0.400755,0.423584
2014-10-01,4.155443,1.019528,0.541996,0.808211,0.097573,0.564078,0.694995,0.429062
2014-11-01,3.817239,1.090824,0.570977,0.7893,0.047571,0.541931,0.38553,0.391106
2014-12-01,4.664955,1.189352,0.719642,0.824697,0.193194,0.56505,0.525557,0.647463
2015-01-01,4.096381,1.302776,0.57977,0.709837,0,0.635702,0,0.868296
2015-02-01,3.015117,0.76603,0.322394,0.522623,0,0.615695,0,0.788375
2015-03-01,4.70161,1.661009,0.38188,0.78721,0.197067,0.75959,0.525635,0.389219
2015-04-01,3.649203,0.966565,0.303521,0.550132,0.152558,0.726279,0.497715,0.452433
2015-05-01,3.238562,0.996439,0.126418,0.621859,0.083358,0.459593,0.468132,0.482763
2015-06-01,3.01146,1.196791,0.060078,0.486524,0,0.489029,0,0.779038
2015-07-01,3.484191,1.090162,0.037638,0.708747,0,0.679878,0,0.967766
2015-08-01,3.1466,1.077568,0.063834,0.566197,0,0.408669,0,1.030332
2015-09-01,3.692816,1.376573,0.065967,0.603204,0.114792,0.409651,0.501591,0.621038
2015-10-01,3.710226,1.246418,0.130556,0.679575,0,0.585767,0,1.06791
2015-11-01,4.185729,1.551602,0.286779,0.601804,0,0.698486,0,1.047058
2015-12-01,3.757662,1.160999,0.253811,0.640801,0.117153,0.559226,0.566077,0.459595
2016-01-01,4.02439,1.501346,0.150688,0.790702,0,0.703769,0,0.877885
2016-02-01,4.080123,1.632837,0.074766,0.750442,0,0.703733,0,0.918345
2016-03-01,3.875591,1.412681,0.056731,0.662894,0.201138,0.659494,0.56774,0.314913
2016-04-01,3.558555,1.541756,0.019695,0.704775,0,0.570013,0,0.722316
2016-05-01,3.309931,1.238342,0.020012,0.637783,0,0.437151,0,0.976643
2016-06-01,3.548531,1.625479,0,0.32672,0,0.642454,0.656425,0.297453
2016-07-01,3.651765,1.285394,0,0.677581,0,0.745481,0.593384,0.349925
2016-08-01,3.54149,1.089429,0,0.46913,0,0.784934,0.503294,0.694703
2016-09-01,3.753037,1.191367,0,0.57925,0,0.696699,0.507808,0.777913
2016-10-01,3.813611,1.13748,0.246021,0.559296,0,0.689135,0.671016,0.510663
2016-11-01,3.992489,1.004644,0.300149,0.72638,0,0.831557,0.802064,0.327695
2016-12-01,3.515006,1.266538,0.140091,0.697241,0,0.68753,0.437531,0.286075
2017-01-01,3.542796,1.059586,0.124207,0.504577,0.188494,0.724767,0.505935,0.43523
2017-02-01,4.61028,1.939163,0.211411,0.650264,0,0.571645,0,1.237797
2017-03-01,3.686816,1.501311,0.156343,0.5371,0,0.480974,0,1.011088
