start_date,end_date,updated_date,production_type,initial_ncc,updated_ncc
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2020-10-06 03:10:00+00:00,HYDRO_RESERVOIR,1259.3,1234.7
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2021-03-02 09:03:00+00:00,HYDRO_RUN_OF_RIVER,171.6,171.6
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2018-11-29 01:11:00+00:00,NUCLEAR,0.0,0.0
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2020-11-09 11:11:00+00:00,OTHER,2610.0999999999995,2581.2
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2020-06-16 02:06:00+00:00,POUNDAGE,1236.7,1214.0
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2021-03-09 05:03:00+00:00,SOLAR,56.4,62.9
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2021-01-08 04:01:00+00:00,VARIOUS,861.9,830.1
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2020-05-07 00:05:00+00:00,WASTES,6.5,6.5
2021-12-31 23:00:00+00:00,2022-12-31 23:00:00+00:00,2021-03-09 05:03:00+00:00,WIND_ONSHORE,662.9,770.9
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2020-12-07 04:12:00+00:00,BATTERY,24.7,25.0
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2021-01-21 10:01:00+00:00,BIOMASS,240.1,246.5
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2021-01-04 04:01:00+00:00,FOSSIL_OIL,189.2,178.5
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2019-12-06 03:12:00+00:00,GAS_COAL_HARD_COAL,828.0,811.5
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2015-07-28 00:07:00+00:00,HYDRO_PUMPED_STORAGE,0.0,0.0
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2019-10-28 11:10:00+00:00,HYDRO_RESERVOIR,1033.0,1033.0
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2021-03-02 09:03:00+00:00,HYDRO_RUN_OF_RIVER,607.9,614.9
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2018-11-29 01:11:00+00:00,NUCLEAR,0.0,0.0
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2020-11-09 11:11:00+00:00,OTHER,2069.3999999999996,2091.2999999999997
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2019-10-30 08:10:00+00:00,POUNDAGE,1012.6,1012.6
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2021-03-09 05:03:00+00:00,SOLAR,68.8,65.4
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2021-01-08 04:01:00+00:00,VARIOUS,684.1,694.2
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2020-05-07 00:05:00+00:00,WASTES,6.5,6.5
2022-12-31 23:00:00+00:00,2023-12-31 23:00:00+00:00,2021-03-09 05:03:00+00:00,WIND_ONSHORE,738.9,791.3
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2020-09-16 01:09:00+00:00,BATTERY,21.5,21.5
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2020-07-06 03:07:00+00:00,BIOMASS,123.7,123.7
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2019-04-10 09:04:00+00:00,FOSSIL_OIL,22.7,22.7
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2021-01-21 10:01:00+00:00,GAS_COAL_HARD_COAL,36.1,31.1
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2020-01-17 10:01:00+00:00,HYDRO_RESERVOIR,1052.1,1052.1
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2021-03-02 09:03:00+00:00,HYDRO_RUN_OF_RIVER,1551.7,1552.1
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2018-11-29 01:11:00+00:00,NUCLEAR,0.0,0.0
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2020-11-20 09:11:00+00:00,OTHER,2402.1,2402.1
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2020-06-16 02:06:00+00:00,POUNDAGE,1029.1,1029.1
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2021-03-09 05:03:00+00:00,SOLAR,60.6,62.3
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2021-01-28 05:01:00+00:00,VARIOUS,254.2,263.6
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2020-09-07 02:09:00+00:00,WASTES,18.7,18.7
2023-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2021-03-09 05:03:00+00:00,WIND_ONSHORE,655.8,665.6
