Date,Country,Buyer,Seller,Techno,Project size (MW),Tenor (years),Offtaker,Remarque,Source,Location,Technology Remark,Offtaker category
2019-11-01,Great Britain,E.ON,RWE,Onshore Wind,892,2,Utility,Covers more than 20 existing British onshore and offshore wind farms,RWE website,,Onshore and offshore wind,E.ON
2019-11-01,United States,McDonalds,Aviator Wind West,Onshore Wind,220,,,Vittual PPA. From the currently under development 525MW Aviator Wind poject in Coke County,Renewables Now,Texas,,McDonalds
2019-11-01,United States,Shell Energy North America,EDP Renewables,Solar,200,15,,Shell will be the sole off-taker for the Sandrini Solar Park in Kern County. Expected operational late 2022.,Renewables Now,California,,Shell Energy North America
2019-11-01,United States,Central Maine Power Co,Aqua Ventus,Tidal,12,,,Aqua Ventus project in the Gulf of Maine will feature to floating semi-submersible turbines. Plans are in place to use the floating platforms for offshore wind in the future.,Renewables Now,Maine,,Central Maine Power Co
2019-11-01,United States,Georgia Power,RWE Renewables,Solar,195,30,,Broken Spoke Solar project in Mitchell County expected to be online late 2021.,Solar Power World,Georgia,"195 solar, 80 storage",Georgia Power
2019-11-01,Poland,"Kompania Piwowarska SA, owned by Asahi Breweries Europe Group",Innogy,Onshore Wind,,10,Corporate,COD 2020. Innogy will supply 30GWh annually.,Innogy website,,,"Kompania Piwowarska SA, owned by Asahi Breweries Europe Group"
2019-11-01,Spain,Galp,Grenergy,Solar,200,12,,The Altarejos-located project is expected to enter operation in 2021.,Energy Rev,Cuenca,,Galp
2019-10-01,Great Britain,Tesco,EDF Renewables,Onshore Wind,43,15,Corporate,,,,,Tesco
2019-10-01,Great Britain,Tesco,EDF Renewables,Solar,5,20,Corporate,,,,,Tesco
2019-10-01,Great Britain,Tesco,EDF Renewables,Onshore Wind,10.8,15,Corporate,"The Burnfoot East wind farm project which will have three turbines with a total installed capacity of 10.8 MW; the project is an extension of the existing Burnfoot cluster located in the Clackmannanshire council area, which has a total capacity of 42 MW. The future wind farm extension is expected to will be completed mid-2020",https://www.edf-renouvelables.com,Scotland,,Tesco
2019-10-01,United States,,EDP,Solar,200,15,,The unnamed buyer will take all the production from a new solar power plant expected online in 2022.,Renewables Now,California,,
2019-10-01,Great Britain,Amazon,ScottishPower Renewables,Onshore Wind,50,,Corporate,,,,,Amazon
2019-10-01,Finland,Neste,Fortum,Onshore Wind,90,12,Corporate,COD 2020. The contract covers 70% of the plant’s production.,Fortum news,,,Neste
