,SARS Number of cases,SARS Number of deaths,SARS Fatality rate,Coronavirus Number of cases,Coronavirus Number of deaths,Coronavirus Fatality rate,Cases - China,Cases - Outside China,New cases - China,New cases - Outside China
45,2890,116,4.01384083,46997,1369,2.912951891,46550,447,1820,6
46,2960,119,4.02027027,49053,1383,2.819399425,48548,505,1998,58
47,2960,119,4.02027027,50580,1526,3.017002768,50054,526,1506,21
48,3169,144,4.544020196,51857,1669,3.218466167,51174,683,1120,157
49,3235,154,4.760432767,71429,1775,2.48498509,70635,794,19461,111
50,3293,159,4.82842393,73332,1873,2.554137348,72528,804,1893,10
51,3389,165,4.86869283,75204,2009,2.671400457,74280,924,1752,120
52,3547,182,5.131096701,75748,2129,2.810635264,74675,1073,395,149
53,3547,182,5.131096701,76769,2247,2.926962706,75569,1200,894,127
54,3547,182,5.131096701,77794,2359,3.032367535,76392,1402,823,202
55,3861,217,5.62030562,78811,2462,3.123929401,77042,1769,650,367
56,3947,229,5.801874842,79331,2618,3.300097062,77262,2069,220,300
57,4288,251,5.853544776,80239,2700,3.36494722,77780,2459,518,390
58,4439,263,5.924757828,81109,2761,3.404061202,78191,2918,411,459
59,4649,274,5.893740589,82294,2804,3.407295793,78630,3664,439,746
60,4836,293,6.05872622,83652,2858,3.41653517,78961,4691,331,1027
61,4836,293,6.05872622,85403,2924,3.423767315,79394,6009,433,1318
