Month,Belgium,China,France,India,Italy,Japan,Netherlands,South Korea,Spain,Turkey,United Kingdom
2014-03-31 0:00:00,0.254989516,1.914383255,0.773972273,1.587911339,0.251771496,10.59911874,0.096236753,5.893455835,1.419991092,0.593779457,0.509945911
2014-04-30 0:00:00,0.170183943,2.133310361,0.43126794,1.693027168,0.349279137,10.06920161,0.169617657,3.986118119,1.569282043,0.610753805,1.206541048
2014-05-31 0:00:00,0.262109864,1.936631764,0.601262416,1.618566877,0.519226648,8.842609035,0,3.03950889,1.119078194,0.389725969,1.43913361
2014-06-30 0:00:00,0.255179026,2.458417613,0.394891175,1.659626266,0.43079113,9.972754665,0.082993374,3.375785402,1.099385383,0.441037223,1.204673975
2014-07-31 0:00:00,0.25583957,2.119377096,0.625355038,1.660906161,0.510864428,10.08119678,0.213444961,2.983260843,1.392656384,0.324134625,1.636414278
2014-08-31 0:00:00,0.278356561,2.193301987,0.522807809,1.791906485,0.186319905,9.995307529,0.157174923,3.574406047,1.325657877,0.488373563,1.273679504
2014-09-30 0:00:00,0.171345988,2.006192599,0.350494332,1.624661944,0.164930058,9.598683663,0,3.188860027,1.4298361,0.396207939,0.936982239
2014-10-31 0:00:00,0.261913651,1.95551931,0.437457447,1.889078708,0.427089889,9.193725687,0.113596755,3.631094408,1.604114033,0.30920582,0.733019578
2014-11-30 0:00:00,0.25775722,2.328575078,1.113281854,1.511784679,0.345814327,9.700934243,0.16767618,4.225853366,1.370406831,1.034748018,1.076228618
2014-12-31 0:00:00,0.16750947,2.861483498,0.636371094,1.905389055,0.552219124,11.53349767,0,5.783518825,1.26741277,0.97050665,0.870371285
2015-01-31 0:00:00,0.511040533,2.839132789,0.45825125,1.630679929,0.603741558,11.16825841,0.086598772,5.436352574,1.102450976,0.895626712,0.901122934
2015-02-28 0:00:00,0.443710129,1.993192866,0.330533121,1.243027009,0.507127236,10.49751479,0.163677665,4.285505852,1.240885164,0.915329806,0.701510613
2015-03-31 0:00:00,0.566634702,2.373852365,0.64388384,1.365411236,0.423599486,10.60255193,0.255942552,4.234776798,1.245801315,0.845086611,1.324621419
2015-04-30 0:00:00,0.419362011,1.723387837,0.701447889,1.612353134,0.515056811,9.145383528,0.255937269,3.583246451,1.007804837,0.457842775,1.275536218
2015-05-31 0:00:00,0.170533105,1.980182651,0.359063477,1.80762185,0.515396833,7.786942117,0.083729268,3.4581234,1.286494761,0.537949205,1.398927301
2015-06-30 0:00:00,0.282567451,2.354707109,0.62558782,1.634220438,0.41613546,8.881946903,0.18063762,2.496435148,1.122590553,0.298538425,0.733503127
2015-07-31 0:00:00,0.170464247,2.597871834,0.483898789,2.206213521,0.425378202,9.441052282,0.086343152,2.929285034,1.164545198,0.539867672,0.88711816
2015-08-31 0:00:00,0.189996189,1.895784083,0.511186992,1.672942104,0.436480705,9.876478244,0.204828944,3.247132674,1.053278938,0.234927664,1.297229363
2015-09-30 0:00:00,0.273637089,1.717490371,0.450821474,1.875311743,0.436899334,8.610872205,0.091523745,3.545484041,1.186524389,0.558340142,1.231336765
2015-10-31 0:00:00,0.402990389,2.077382861,0.748251594,2.104410005,0.518109086,8.744524743,0.342983091,4.048457373,1.021878144,0.241881837,1.719942576
2015-11-30 0:00:00,0.170463638,2.646545897,0.672632379,2.188753124,0.444805755,9.43116863,0.074915533,3.755796237,1.432841454,0.937705501,1.375551578
2015-12-31 0:00:00,0.175409188,2.852135696,0.528418817,2.188460527,0.623075901,11.09098716,0.082993374,4.616458415,1.223604457,1.026975903,0.95565434
2016-01-31 0:00:00,0.177585807,3.587981111,0.777230295,2.069465169,0.521511741,9.521951632,0,4.695882353,1.339422719,1.093947101,0.855231244
2016-02-29 0:00:00,0.275897198,2.310644462,0.881596601,1.898092909,0.441210542,9.686465177,0.08347566,4.176352785,0.917035321,0.90901584,1.085464658
2016-03-31 0:00:00,0.272631649,2.663313266,0.515991208,2.061921251,0.439786473,10.64199718,0,4.880466288,1.363552645,0.829051163,1.075417188
2016-04-30 0:00:00,0.1789849,2.587540127,0.830244837,2.209111693,0.514923971,8.637641791,0.09219145,2.865994102,1.097158191,0.378379835,1.273452213
2016-05-31 0:00:00,0.197632773,2.096800076,0.658380576,2.165348283,0.477236314,7.334910734,0.208843645,3.194212605,1.011316774,0.33156753,1.413404775
2016-06-30 0:00:00,0.290696975,2.963532768,0.768425712,2.065543718,0.741882803,8.143662211,0.339762062,3.411426603,1.173686182,0.418946076,0.749394245
2016-07-31 0:00:00,0.186499503,2.521499075,0.858760009,2.001043453,0.790746936,9.819106946,0.087553856,2.510122543,1.00660203,0.484729869,0.960073404
2016-08-31 0:00:00,0.167595999,3.233670311,0.690189125,2.246024602,0.433039959,9.603669905,0.212837623,2.797615244,0.671218266,0.481286597,0.893963544
2016-09-30 0:00:00,0.279164576,2.672842656,0.780580547,2.426734466,0.616497858,9.057969088,0,3.052885955,1.019249397,0.471726668,1.250807095
2016-10-31 0:00:00,0.275052818,3.023455887,0.945087189,2.436683949,0.432221293,8.903449168,0.258588646,4.530466084,1.054290521,0.333558392,0.318289626
2016-11-30 0:00:00,0.183632474,3.897769418,0.858153769,2.071529476,0.467484084,9.69685839,0,4.661437325,1.234974252,0.413792159,0.521279466
2016-12-31 0:00:00,0.085907292,5.462830695,0.566678299,1.968218543,0.422048616,10.51697187,0.082871332,5.169308062,1.801938177,1.279123924,0.289443227
2017-01-31 0:00:00,0.139935705,4.477234518,0.604934763,1.780442721,0.43846965,11.1925092,0,6.313201185,1.319027957,1.739121552,0.159300809
2017-02-28 0:00:00,0.090608489,3.060656387,0.659432087,2.179311867,0.526834483,11.12382769,0,4.914793975,1.890054067,1.493461922,0.161460114
2017-03-31 0:00:00,0.085086487,3.02666421,1.136836905,2.254703899,0.526399401,10.61816284,0.129673822,4.913494231,0.828574604,0.9283012,1.078670402
2017-04-30 0:00:00,0.30332623,2.999629374,1.056369417,2.439005625,0.774130941,9.599508987,0.165987962,3.014106054,0.924414065,0.414038013,1.092814927
2017-05-31 0:00:00,0.091309251,3.966170419,1.466509862,2.018418445,0.787834553,8.033879674,0.333079126,3.498024092,1.186865712,0.449789563,0.636345258
2017-06-30 0:00:00,0.176320787,4.41804,0.820908898,2.001176899,0.871458766,8.031703958,0.261279176,4.32723621,1.338844487,0.388299364,0.468763792
2017-07-31 0:00:00,0.085310121,3.978772837,1.035346555,2.039552217,1.003837495,9.761380983,0.129631167,4.273911627,1.361216981,0.376616272,0.982842757
2017-08-31 0:00:00,0.085220546,4.643130524,0.773046416,2.378815187,0.879416601,9.273021002,0.130130231,3.61950996,1.7559253,0.504167625,0.438632913
2017-09-30 0:00:00,0.074910208,4.695951022,0.69301984,2.503862609,0.888726192,8.348508606,0.087314022,3.352862457,1.083441154,0.435118953,0.334589362
2017-10-31 0:00:00,0.005466289,4.954339739,1.162050338,2.331354761,0.601978685,8.028277352,0.103037125,3.801306556,1.555924002,0.620953343,0.780979194
